﻿İşlem Tipi;Sembol;Alış Tarihi;Satış Tarihi;İşlem Açıklaması;Miktar;USD Tutar;TCMB Kuru;TL Karşılığı;Kategori
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-0.33;-0.34;35.1697;-11.96;Alım-Satım
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-4.00;-2.53;35.1697;-88.98;Alım-Satım
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-28.00;-12.22;35.1697;-429.77;Alım-Satım
Hisse Senedi;USO;2024-12-20;2024-12-20;Satış Karı;-28.00;42.59;35.0698;1493.62;Alım-Satım
Hisse Senedi;USO;2024-12-20;2024-12-20;Satış Karı;-0.27;0.48;35.0698;16.83;Alım-Satım
Hisse Senedi;VIXY;2024-12-18;2024-12-18;Satış Karı;-12.00;63.91;34.9849;2235.88;Alım-Satım
Hisse Senedi;VIXY;2024-12-18;2024-12-18;Satış Karı;-0.08;0.43;34.9849;15.04;Alım-Satım
;;;;;;;;;
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-194.92;34.6417;-6752.36;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-194.22;34.6417;-6728.11;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.08;34.6417;799.53;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.78;34.6417;823.78;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.08;34.6417;799.53;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.78;34.6417;823.78;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Karı;-1.00;93.82;34.6417;3250.08;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Karı;-1.00;95.22;34.6417;3298.58;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.92;34.6417;-828.63;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.22;34.6417;-804.38;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.92;34.6417;-828.63;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.22;34.6417;-804.38;Alım-Satım
Opsiyon;SPXW 03DEC24 6050 C;2024-12-03;2024-12-03;Satış Zararı;1.00;-108.27;34.7056;-3757.58;Alım-Satım
Opsiyon;SPXW 03DEC24 6050 C;2024-12-03;2024-12-03;Satış Karı;1.00;110.63;34.7056;3839.48;Alım-Satım
Opsiyon;SPXW 03DEC24 6055 C;2024-12-03;2024-12-03;Satış Karı;-1.00;41.73;34.7056;1448.26;Alım-Satım
Opsiyon;SPXW 03DEC24 6055 C;2024-12-03;2024-12-03;Satış Zararı;-1.00;-56.28;34.7056;-1953.23;Alım-Satım
Opsiyon;SPXW 03DEC24 6030 P;2024-12-03;2024-12-03;Satış Karı;-1.00;213.63;34.7056;7414.16;Alım-Satım
Opsiyon;SPXW 03DEC24 6035 P;2024-12-03;2024-12-03;Satış Zararı;1.00;-326.37;34.7056;-11326.87;Alım-Satım
;;;;;;;;;
Temettü;TBIL(US74933W4520) Cash Dividend USD 0.184283 per Share (Ordinary Dividend);2024-12-03;;Brüt Temettü;19.03;34.7056;660.45;Temettü;
Temettü;TLT(US4642874329) Cash Dividend USD 0.325021 per Share (Ordinary Dividend);2024-12-05;;Brüt Temettü;52.11;34.7498;1810.81;Temettü;
Temettü;TLT(US4642874329) Cash Dividend USD 0.351032 per Share (Ordinary Dividend);2024-12-23;;Brüt Temettü;56.43;35.1251;1982.11;Temettü;
Temettü;TBIL(US74933W4520) Cash Dividend USD 0.181215 per Share (Ordinary Dividend);2024-12-31;;Brüt Temettü;18.77;35.2868;662.33;Temettü;
;;;;;;;;;
Stopaj;E*******R3:CBOE ONE ADD-ON FOR NOV 2024;2024-12-03;;Temettü Stopajı;1.00;34.7056;34.71;Stopaj;
Stopaj;E*******R3:CBOE ONE ADD-ON FOR DEC 2024;2024-12-03;;Temettü Stopajı;-1.00;34.7056;-34.71;Stopaj;
Stopaj;E*******R3:OPRA NP L1 FOR NOV 2024;2024-12-03;;Temettü Stopajı;1.50;34.7056;52.06;Stopaj;
Stopaj;E*******R3:OPRA NP L1 FOR DEC 2024;2024-12-03;;Temettü Stopajı;-1.50;34.7056;-52.06;Stopaj;
Stopaj;e*******r3:US Securities Snapshot and Futures Value Bundle Non-Professional for Nov 2024;2024-12-03;;Temettü Stopajı;10.00;34.7056;347.06;Stopaj;
Stopaj;e*******r3:US Securities Snapshot and Futures Value Bundle Non-Professional for Dec 2024;2024-12-03;;Temettü Stopajı;-10.00;34.7056;-347.06;Stopaj;
Stopaj;E*******R3:CBOE ONE ADD-ON FOR DEC 2024;2025-01-03;;Temettü Stopajı;1.00;35.3160;35.32;Stopaj;
Stopaj;E*******R3:CBOE ONE ADD-ON FOR JAN 2025;2025-01-03;;Temettü Stopajı;-1.00;35.3160;-35.32;Stopaj;
Stopaj;E*******R3:OPRA NP L1 FOR DEC 2024;2025-01-03;;Temettü Stopajı;1.50;35.3160;52.97;Stopaj;
Stopaj;E*******R3:OPRA NP L1 FOR JAN 2025;2025-01-03;;Temettü Stopajı;-1.50;35.3160;-52.97;Stopaj;
Stopaj;e*******r3:US Securities Snapshot and Futures Value Bundle Non-Professional for Dec 2024;2025-01-03;;Temettü Stopajı;10.00;35.3160;353.16;Stopaj;
Stopaj;e*******r3:US Securities Snapshot and Futures Value Bundle Non-Professional for Jan 2025;2025-01-03;;Temettü Stopajı;-10.00;35.3160;-353.16;Stopaj;
Stopaj;TBIL(US74933W4520) Cash Dividend USD 0.184283 per Share - US Tax;2024-12-03;;Temettü Stopajı;-3.81;34.7056;-132.23;Stopaj;
Stopaj;TLT(US4642874329) Cash Dividend USD 0.325021 per Share - US Tax;2024-12-05;;Temettü Stopajı;-10.42;34.7498;-362.09;Stopaj;
Stopaj;TLT(US4642874329) Cash Dividend USD 0.351032 per Share - US Tax;2024-12-23;;Temettü Stopajı;-11.29;35.1251;-396.56;Stopaj;
